id,rank,score
1501,1,23058.39351851852
2643,2,22833.887625735875
3949,3,22833.887625735875
4185,4,22833.887625735875
0786,5,22830.92298130866
2280,6,22830.92298130866
2814,7,22830.92298130866
3400,8,22830.92298130866
1040,9,22829.290995193667
5045,10,22829.290995193667
5077,11,3210.9555100605876
4061,12,2837.1926552937866
2311,13,636.1358123148052
3199,14,526.0437785815409
4585,15,521.0980186882019
2645,16,508.8390793489042
2697,17,501.62321369499375
4494,18,498.1036786313614
3331,19,494.9080195033713
5455,20,490.6921029158207
0926,21,490.66389497096276
2990,22,487.1651033122252
4190,23,486.600253651435
4214,24,485.7837723781605
0172,25,484.39371486798063
4132,26,473.28973265999883
5350,27,472.8474773879472
4510,28,472.2456337755629
2625,29,471.6028746219172
2164,30,467.80046478954534
3979,31,464.460806355849
1438,32,459.1292635976963
1812,33,457.6616872591812
0882,34,456.9239652198848
1801,35,456.38024452322315
3608,36,456.1217419416784
4029,37,452.39705812845193
4088,38,448.6344424019405
4371,39,447.3025671267569
0251,40,434.9607807643957
2536,41,427.2839021779168
3651,42,381.0107893246697
1657,43,370.94175918604043
4971,44,370.39881655237116
1699,45,352.3922140786213
4475,46,351.8363636971606
0374,47,347.9826004537252
2888,48,347.55387262041063
4784,49,343.18741426183226
1061,50,341.75608779488533
4594,51,341.23727733592807
3482,52,339.3997998539261
5026,53,336.1455510136472
2447,54,335.74757337732234
3783,55,335.6760169946907
1290,56,335.4978120474094
1419,57,333.5998887700763
3219,58,332.8744158850954
3216,59,331.4497617849861
2283,60,331.3842871493466
1090,61,331.1432733387015
2967,62,329.37426809816856
3830,63,327.9141583519747
2180,64,324.8318454272517
2877,65,324.2254555987186
5159,66,322.73963992018315
0909,67,321.79885018281914
5187,68,321.4780567490198
1088,69,321.16057553554697
2805,70,320.2279410297533
4151,71,320.14004606679634
2126,72,320.0581816560953
0294,73,320.0171885017978
4228,74,316.8852853370361
2141,75,316.3241172731695
2560,76,315.7806123311196
3361,77,314.44451658939374
0240,78,312.55886898583344
0648,79,312.091912222504
5389,80,308.5909695524286
0458,81,308.2428171433393
2691,82,306.6352661583188
4593,83,306.628410617658
4416,84,305.303977690283
4040,85,305.2904352222432
3840,86,305.0669924654127
5092,87,304.7157798199654
3359,88,304.6765099605933
4873,89,304.3799751209982
4338,90,304.22911047583415
0469,91,303.3532643262246
4168,92,302.0858733382201
0756,93,300.7999420105538
5043,94,300.3344727554747
0526,95,299.13413159562907
4774,96,298.2368525940455
4683,97,297.2990955803826
2993,98,296.1007120276869
1024,99,295.1964742607584
0234,100,292.59865043532596
4941,101,291.90815222066806
1006,102,291.61873972151704
0595,103,290.79649255140913
1407,104,290.68247574908736
4453,105,290.6101905038097
2084,106,290.22290033279256
4888,107,289.99253136440547
0491,108,289.9148777971812
2450,109,288.374325444394
5182,110,288.26818992360285
4345,111,287.66702187533
3419,112,287.3044160498248
0908,113,286.76095061310804
3406,114,286.47851900014797
2204,115,286.1229568172913
0081,116,285.026838910085
3529,117,284.7212380754351
1332,118,283.80993153137445
